"Paradigm","Method","Arm","RR_Mission","comparator","n_single_sig","n_retained","n_dropped","retained_frac","AUC_retain_by_signif","rank_biserial","wilcox_greater_p","perm_p","median_logp_retained","median_logp_dropped","AUC_retain_by_absNES","median_absNES_retained","median_absNES_dropped","perm_p_adj"
"ora","svm","ruvg","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","svm","ruvg","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","svm","ruvg","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","svm","combat_ref","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","svm","combat_ref","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","svm","combat_ref","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","svm","combat_ref","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","svm","combat_ref","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","glm","zscore","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","glm","zscore","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","glm","zscore","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","glm","zscore","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","glm","zscore","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","glm","deseq2","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","glm","deseq2","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","glm","deseq2","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","glm","deseq2","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","glm","deseq2","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","glm","ruvg","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","glm","ruvg","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","glm","ruvg","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","glm","ruvg","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","glm","ruvg","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
"ora","glm","combat_ref","RR1_NASA","full_merge",6,0,6,0,NA,NA,NA,NA,NA,6.934,NA,NA,NA,NA
"ora","glm","combat_ref","RR6","full_merge",14,0,14,0,NA,NA,NA,NA,NA,5.886,NA,NA,NA,NA
"ora","glm","combat_ref","RR9","full_merge",45,0,45,0,NA,NA,NA,NA,NA,2.429,NA,NA,NA,NA
"ora","glm","combat_ref","RR3","full_merge",15,0,15,0,NA,NA,NA,NA,NA,3.381,NA,NA,NA,NA
"ora","glm","combat_ref","RR47","full_merge",46,0,46,0,NA,NA,NA,NA,NA,4.569,NA,NA,NA,NA
